url,timestamp_of_change
https://www.whitehouse.gov/the-press-office/2017/02/01/first-lady-melania-trump-announces-chief-staff,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/featured-videos/video/2017/01/31/president-trump-announces-supreme-court-united-states-nominee,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/videos/2017/February/20170201_Press_Briefing_HD.mp4,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/02/readout-vice-presidents-meeting-german-vice-chancellor-and-minister,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/making-our-military-strong-again,20170207224322
https://www.whitehouse.gov/the-press-office/2017/01/27/president-trump-and-prime-minister-mays-opening-remarks,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/07/remarks-president-trump-roundtable-county-sheriffs,20170208003037
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/27_william_howard_h_taft.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/12_zachary_taylor.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/featured-videos.gif,unable to retrieve data from Wayback Machine
https://obamawhitehouse.archives.gov/blog/2011/03/29/peace-corps-reflects-diversity-america-story-celebrating-service,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/20_james_a_garfield.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/speeches-and-remarks?term_node_tid_depth=31&page=1,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/02/white-house-national-security-advisor-announces-nsc-senior-staff-0,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/featured-videos/video/2017/02/02/2217-white-house-press-briefing,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/01_george_washington%5B1%5D.jpg,unable to retrieve data from Wayback Machine
https://obamawhitehouse.archives.gov/the-press-office/2011/09/20/president-obama-participate-linkedin-town-hall-mountain-view-california-,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/21/remarks-president-trump-and-vice-president-pence-cia-headquarters,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_css/css__nrzz0qPx72thwmgjDs1PhjAsNOYKnl2PmpKqCRsqoOQ__jFOZrBEq8atcuaqanZ2SARmeFZ6Yhphd6KwP6zsI_Og__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.css,20170207200015
https://www.whitehouse.gov/blog/2017/02/07/vice-president-pence-casts-historic-vote-confirm-betsy-devos,20170208003016
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/11_james_polk.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/07/white-house-director-legislative-affairs-announces-legislative-affairs,20170208003013
https://www.whitehouse.gov/the-press-office/2017/02/01/remarks-president-trump-african-american-history-month-listening-session,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/01/editorial-boards-across-country-praise-judge-gorsuch,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/06_john_quincy_adams.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/blog?page=3,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/39_jimmy_carter.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/22_grover_cleveland.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/07/hjr-42-disapproving-rule-submitted-department-labor-relating-drug,20170207212223
https://www.whitehouse.gov/the-press-office/2017/02/01/president-trump-approves-south-dakota-disaster-declaration,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/10_john_tyler.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/14_franklin_pierce.jpg,unable to retrieve data from Wayback Machine
https://obamawhitehouse.archives.gov/blog/2012/03/12/blueprint-secure-energy-future-one-year-progress-report,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/23_benjamin_harrison%5B1%5D.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/24/implementation-regulatory-freeze,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/29_warren_g_harding.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/04/promise-make-america-safe-again,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/videos/2017/February/20170203_Press_Briefing_HD.mp4,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/videos/2017/January/20170120_The_Inauguration_of_the_45th_President_of_the_United_States_HD.mp4,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/07/second-lady-announces-kristan-king-nevins-chief-staff,20170207212037
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/35_john_f_kennedy.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/30/budgetary-impact-analysis-executive-order-entitled-protecting-nation,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/videos/2017/January/20170128_Weekly_Address.mp3,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/04_james_madison.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/07_andrew_jackson%5B1%5D.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/videos/2017/January/20170127_POTUS_and_PM_May_JPA_HD.mp4,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/01/remarks-president-trump-and-vice-president-pence-swearing-ceremony,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/20/memorandum-heads-executive-departments-and-agencies,20170207195834
https://www.whitehouse.gov/live/president-trump-speaks-mcca-winter-conference,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/videos/2017/January/20170127_POTUS_and_PM_May_JPA.mp3,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__1_T1K8_-cuUqqzrtz5Q2kx38aBJ8S7rUjr6-0i8Wsrg__xZG30O1CwxnQl8m4ubRpfraylSJtG-YohWGblTjBf2E__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/07/hjr-44-disapproving-rule-submitted-department-interior-relating-bureau,20170207211953
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/Untitled-1.png,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/25/executive-order-border-security-and-immigration-enforcement-improvements,20170207232422
https://www.whitehouse.gov/the-press-office/2017/02/07/hjr-58-disapproving-rule-submitted-department-education-relating-teacher,20170207211930
https://www.whitehouse.gov/briefing-room/presidential-actions/related-omb-material,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/Budgetary_Impact_Analysis_for_EO_Entitled_Border_Security_and_Immigration_Enforcement_Improvements.pdf,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/08/president-donald-j-trump-announces-his-cabinet,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/07/hjr-57-disapproving-rule-submitted-department-education-relating,20170207211932
https://obamawhitehouse.archives.gov/the-press-office/2011/02/28/presidential-proclamation-50th-anniversary-peace-corps,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/07/press-briefing-press-secretary-sean-spicer-272017-9,20170208003040
https://www.whitehouse.gov/videos/2017/February/20170202_Press_Brifing_HD.mp4,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/presidential-actions/presidential-memoranda?term_node_tid_depth=56,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/2/executive-order-minimizing-economic-burden-patient-protection-and,20170207195829
https://www.whitehouse.gov/briefing-room/nominations-and-appointments,20170207224127
https://www.whitehouse.gov/the-press-office/2017/01/23/presidential-memorandum-regarding-withdrawal-united-states-trans-pacific,20170208052317
https://www.whitehouse.gov/the-press-office/2017/01/31/president-donald-j-trump-will-continue-enforce-executive-order,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/docs/sap-hr7-01242017.pdf,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/21_chester_alan_arthur.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/live/press-briefing-press-secretary-sean-spicer-4,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js___SEdaYbP5dYppxz7mtODtKwnxE8XRszOddmOZR2vgcI__7_VyPJS7R-wVVIwXDhIMWDPKE0L8dY9qZT-MDxpxTfg__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/docs/budgetary_impact_analysis_eo_protecting_nation_from_foreign_terrorist_entry_into_us.pdf,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/03_thomas_jefferson.jpg,unable to retrieve data from Wayback Machine
https://obamawhitehouse.archives.gov/the-press-office/2011/09/21/remarks-president-obama-and-president-clinton-clinton-global-initiative,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/live,20170208035930
https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_css/css__ZcngCi2htGgg40kDEpEDUDtn-vqShY4u7B2KQvZ0n6A__1AKg1WZNYGFkguCOOocgbHoX4sumviacQ2zpSGEi-jg__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.css,20170207200206
https://www.whitehouse.gov/featured-videos/video/2017/01/20/inauguration-45th-president-united-states,unable to retrieve data from Wayback Machine
